organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2012,30250
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2003,19448
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2004,10000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2005,85000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2006,10000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2008,10000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2009,20000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2010,75000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2011,75000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2012,50000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2013,80000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2014,40000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,professional rels,2004,160000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,professional rels,2005,150000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,st. gov leg  aff,2006,17500
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,st. gov leg  aff,2007,10000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,st. gov leg  aff,2008,10000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2002,23700
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2003,17200
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2006,4800
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2008,5000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2009,32500
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2011,3000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2012,42800
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,conventions,2014,55300
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2002,17500
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2003,65803.84
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2004,17500
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2008,10000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2009,29000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2010,58764
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2011,79650
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2012,75500
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2013,16900
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,medical ed,2014,15000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,other,2002,40000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,other,2003,10000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,other,2004,40000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,promotions rx,2012,40250
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,st. gov leg  aff,2010,20000
american academy of physician assistants,academy of physician assistants,none,medical,physician assistant,other,st. gov leg  aff,2011,35000
american assoc of nurse assessment coordination,assoc of nurse assessment coordination,none,medical,nurse,other,medical ed,2012,8500
american assoc of nurse assessment coordination,assoc of nurse assessment coordination,none,medical,nurse,other,medical ed,2013,10000
american assoc of nurse assessment coordination,assoc of nurse assessment coordination,none,medical,nurse,other,st. gov leg  aff,2012,22208
american assoc of nurse assessment coordination,assoc of nurse assessment coordination,none,medical,nurse,other,st. gov leg  aff,2014,6000
american association of managed care nurses,association of managed care nurses,none,medical,nurse,managed care,medical ed,2003,2000
american association of managed care nurses,association of managed care nurses,none,medical,nurse,managed care,prof relations,2003,1500
american board of pain medicine,board of pain medicine,none,medical,nurse,pain,analgesic,2003,175
american board of pain medicine,board of pain medicine,none,medical,nurse,pain,analgesic,2010,47066
american brain tumor assoc,brain tumor assoc,none,other,,oncology,st. gov leg  aff,2009,1000
american brain tumor assoc,brain tumor assoc,none,other,,oncology,st. gov leg  aff,2010,1000
american brain tumor assoc,brain tumor assoc,none,other,,oncology,st. gov leg  aff,2011,1000
american brain tumor assoc,brain tumor assoc,none,other,,oncology,st. gov leg  aff,2012,1000
american brain tumor assoc,brain tumor assoc,none,other,,oncology,st. gov leg  aff,2013,1000
