organization,broad_org,state,type,position,subtype,department,year,amount
hope of southwest florida inc hope hospice & palliative care,hope of southwest inc hope hospice & palliative care,florida,medical,general,hospice,other,2005,5513.74
west central florida hospice & palliative nurses assn,hospice & palliative nurses assn,florida,medical,nurse,hospice,medical ed,2003,500
imperial polk fl chapter oncology nursing society,imperial polk chapter oncology nursing society,florida,medical,nurse,oncology,lecture program,2003,1500
florida medical association inc,medical association,florida,medical,general,general,conventions,2002,1070
florida medical association inc,medical association,florida,medical,general,general,medical ed,2005,5000
florida medical association inc,medical association,florida,medical,general,general,professional rels,2004,15000
florida medical association inc,medical association,florida,medical,general,general,pur pharma fund,2003,7500
florida medical association inc,medical association,florida,medical,general,general,st. gov leg  aff,2008,5000
florida medical association inc,medical association,florida,medical,general,general,st. gov leg  aff,2013,5000
florida medical directors assoc,medical directors association,florida,medical,medical director,general,conventions,2003,900
florida medical directors assoc,medical directors association,florida,medical,medical director,general,lecture programs,2003,2750
florida medical directors assoc,medical directors association,florida,medical,medical director,general,managedcare ff,2002,900
florida medical directors assoc,medical directors association,florida,medical,medical director,general,medical ed,2009,2500
florida medical directors assoc,medical directors association,florida,medical,medical director,general,medical ed,2012,7500
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2007,7250
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2008,166000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2009,500000
northwest florida chapter oncology nursing society,oncology nursing society,florida,medical,nurse,oncology,conventions,2003,500
north central florida chapter oncology nursing societ,oncology nursing society,florida,medical,nurse,oncology,conventions,2002,250
north central florida chapter oncology nursing societ,oncology nursing society,florida,medical,nurse,oncology,lecture program,2002,500
north central florida chapter oncology nursing societ,oncology nursing society,florida,medical,nurse,oncology,lecture program,2003,2450
northeast florida oncology nursing society,oncology nursing society,florida,medical,nurse,oncology,lecture program,2002,1500
florida space coast chapter of oncology nursing societ,oncology nursing society,florida,medical,nurse,oncology,conventions,2002,275
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,conventions,2007,2000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,government aff,2002,500
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,managedcare ff,2003,5000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,medical ed,2002,2000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,medical ed,2003,25000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,medical ed,2004,25000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,medical ed,2005,25000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,medical ed,2006,2000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,medical ed,2010,6975
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,medical ed,2011,6500
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,professional rels,2004,5000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,professional rels,2005,5000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,public affairs,2012,1500
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,pur pharma fund,2003,500
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,st. gov leg  aff,2004,500
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,st. gov leg  aff,2005,500
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,st. gov leg  aff,2008,5000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,st. gov leg  aff,2009,5000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,st. gov leg  aff,2011,5000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,st. gov leg  aff,2012,5000
florida osteopathic medical assoc,osteopathic medical assoc,florida,medical,general,osteopathic,st. gov leg  aff,2013,5000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2010,725000
florida pharmacy assoc,pharmacists association,florida,medical,pharmacist,general,conventions,2003,850
florida pharmacy assoc,pharmacists association,florida,medical,pharmacist,general,conventions,2004,1400
florida pharmacy assoc,pharmacists association,florida,medical,pharmacist,general,health policy,2008,6000
florida pharmacy assoc,pharmacists association,florida,medical,pharmacist,general,medical ed,2003,5000
florida pharmacy assoc,pharmacists association,florida,medical,pharmacist,general,medical ed,2005,5000
florida society of anesthesiologists inc,society of anesthesiologists,florida,medical,general,anesthesia,conventions,2005,1200
florida society of anesthesiologists inc,society of anesthesiologists,florida,medical,general,anesthesia,conventions,2006,1400
florida society of health system pharmacists,society of health system pharmacists,florida,medical,pharmacist,general,medical ed,2002,250
florida society of health system pharmacists,society of health system pharmacists,florida,medical,pharmacist,general,medical ed,2003,2500
northeast florida society of health-system pharmacists,society of health system pharmacists,florida,medical,pharmacist,general,conventions,2004,500
northeast florida society of health-system pharmacists,society of health system pharmacists,florida,medical,pharmacist,general,conventions,2010,500
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2011,725000
